incoming,your_reply
"I have to do reporting yet, so don't know if I can.","Let's do in college,  even I have to write web assignment from beginning."
no classes right?,No
oksy.,Ok
Where are you,Ground floor bro
Where,Now in 3rd floor washroom
I'm coming,OK bro
I'm at 6th,OK bro
In class?,5 mins coming
What?,I am in 3rd floor washroom
Oh okay.,Yeah
Class is full. In corridor.,Ok
<Media omitted>,<Media omitted>
I woke up now and have to see the match also that's why 😅,He didn't specify
Watching the match bro?,Oh yes
"I was waiting for Virat vs Pathirana from last year bro, they hid him against Virat. Finally it happened, 😄 Virat just loves the pace. And that hit to his head. Only to wake him up. But ignited him more with that sorry 🤣",Nice comeback shot to pathirana
🤣,Yeah
Yeah he would have changed completely.,Yeaaa
Patidar would have been enough.,Oh I am outside
Oh okay.,Shit
Noor,OK
Till what time you were in the college?,Yeah
Okay.,Up-to 5
Okay I will look into chatgpt.,OK bro
which classes were there?,"Yeah didn't attend classes, I was writing os"
Oh okay.,And Vinay asked laptop to show his web project
What was his project?,Resume builder
"What a shot from Jitesh, saw bro? Against Noor.",Maybe
Yeah.,Broo oooooo
Yes,Hattrick from Tim David
haha yes. That score is not easy to chase.,I don't think so
and there is Bhuvi.,Yeah
chennai ground wears off as innings progresses.,Yeah
I think people are getting tired off retirement drama 😭,Yeah correct
"You know Noor is a big RCB fan, couple of years back, he had posted a pic wearing RCB jersey and wished to play in RCB 😆",Yeah right
"I forgot, tell me how much I need to pay for the reports.",<Media omitted>
6 only but only 53 episodes. Which is very less compared to other series. Other series have 12-24 episodes per season.,Ha yes 6
Yeah 😋,Oh ok
Wicket 😀,OK I respect it. In the range of40-50 rs for both C and DSA
Yeah.,Yash 's pace and bowling action improved very much
Confidence gained after winning for us last year.,"Haa,  and VS hazlewood too"
Bhuvi has a good record against Dhoni that's why. 😅,Yeah ok
🤪,Completed OS assignment
The luck is going our side today completely.,Oh man!!!
Yes.,Just 10
Oh god that's so less. Sir didn't said anything? 😅,"Sir asked why you wrote like this,  he found out that I wrote it today in urgent ."
😆,"He just made fun,  such a cool guy gave full marks for assignment"
Okay 👍🏻,Yeah
Yes done.,OK bro
I never thought I would get 43 in maths. 🤣,OK I got 47 in math and 50 in C
"Okay, Only the OS is remaining for me to see.",Yeah
Lot of lefties in CSK.,I think the team is saving him for 14-17 overs
"So it's better if he doesn't, that's why Livingston bowled.",Yeah that's true
Let's hope the match will be over by then.,Yeah
"They are very confident now, Good that the dube is gone. He is a spin basher 😶",Yeah I can see it
Dayal saving us yet again.,Yeah
yeah,Haha yes
"yeah. It's a historical win. In their fort, winning so comfortably.","Rajat gave ball to krunal,  to get some entertainment from msd"
"Yeah, still Dayal and Bhuvi had remaining overs.",Yeah
After 17 years.,Yeah
<Media omitted>,Oh bro yesss
Updated with today's.,Yea
<Media omitted>,How true this is bruhhh
Pollard + Malinga + Bumrah + Hardik was the main reason for their success.,Yeah
watching match?,"No bro,  spent some time with my cousins and roamed fully today"
No!,Yeah
didn't go to my degree college also.,It's a theory subject 25-30 marks will be there for assignments
I will give on exam day - wednesday.,OK bro
"Fine now, I used that bandage kind of off thing on it.","OK,  crepe bandage right?"
"Don't know what it is, my mother gave me.",OK
"Oh, okay.",Yeah
Now watching RR vs CSK.,Oh OK
It seems in last 6 years CSK has never chased 180+ target.,Yeah bro I
they are still playing football till now.,Haha
1-1 🤣🤣,Yeah. That too Rachin
after receiving beatings from RCB they are struggling to stand.,"Haha yes,  still that match is in my eyes"
🤣,I can't get out from that match
cause match wise that's bigger than May 18Th.,Yeah right
Afrikaans own style.,Right 10000000% <This message was edited>
"just check the stats of Dhoni in last 3 years, he has just 3 runs in winning matches. He only comes when it's easy otherwise comes and hits after match is already over.",Archer is killing them with length balls
you understand hindi?,Yeah yeah I heard about this
<Media omitted>,I can't understand bro
"someone sent money with a message - translation - if MSD guard was sprayed or painted with poison, then half of the Hindi commentators will die.",Haha 😂 got it
they milk it.,Yeaa
"for programs I will handle it, but what about VIVA? What should I be focusing on?","External invigilators will ask more questions(like 60-80 %)  based on the program we have executed and the rest from the other theory concepts. Mostly the definitions and examples like that,  there is minimum chances of asking about the working  of the code."
"Oh okay, well put thank you.",Yeah 🥰bro
Prepared?,Oh oh no....
Okay.,Still I have four days
Yeah right..,Need to just brush up things
Yes.,Because we have already practiced and studied
"Yeah, it will help in the exams also.",Yeah
"I'm choosing C++ route bro. I will learn along with Java and python (if it's in syllabus, I still need for scripting in the future)",OK bro nice
"If I have time I work on that browser development. For now, I will focus more on my career and college's.",OK
"I will after exams are over, in holidays. With focusing Linux also. Planning to make a Linux based project in the holidays.","OK got it. Even I have searched about it,  but I found no use case in Linux"
"Yeah, I looked up in chatgpt. it's main used in software and web development not in Linux, because of sole major reason. It doesn't have pointers.",Yeah got to know about this thing.
pointers are necessary in the OS related.,Yeah you said on that day.
yeah just watched now... <This message was edited>,Ok
I'm planning to build automation project using Linux.,Nice idea
I have to learn Docker & Kubernetes along with Ansible with Jenkins.,"Just Linux or do you need  any other programming languages to help with,  I will be helping you"
"Linux administrator is not a high paying job, so I will try learn more skills to improve the chances of getting good job.",OK bro
"I know Ansible not Jenkins. Ansible, I came to know about during my Linux course while I was working. It's an important thing in Linux roles. It's used to automate things using playbooks.",OK
The project I will be working will be very simple as I know Linux. It may finish in a couple of days. Have to see ways to improve along the way.,Oh really
What about you? Any plans?,Oh OK bro
As I have to focus more on C++ I will do simple projects on Linux.,From tomorrow I will be resuming problem solving in leetcode and learning some new concepts in DSA
So have you decided between Web development vs Data Science?,No from tomorrow. Because I got some little bit of confidence that  I can pass all the subjects with some decent marks. So I will be not much concentrating on academics from now on. I will be focusing to learn the essentials for a good job
"Yes, any plans for career oriented?",Like about projects?
"Yes projects, skills....",Ok
"I did complete research today and decided what programming languages, Technolgies, skills and Linux project I should do aside from college. It will help you to do things with certain goal. Instead of uncertain future.","Will focus more on Java now. Like going in deep and development stuff like react,  mongo db."
Cause having one skill means low pay scale. <This message was edited>,I am planning to work on that project as I said earlier like the Summary provider based on the users previous search like keep their older data and analyzing with the keywords
I'm sharing this because of what I learn and saw in my company.,Yeah understood.
"Yeah, I remember that's a good one.",Oh really
"With a single skill you will get entry level job, even if you have BTech.",Yeah
"With many skills the chances are higher, in fact you can demand the PayScale.","Within 3rd sem I will be ready with Java,  web development and Data science If everything goes as I planned"
Find a partner first for your Java. With other's perspective things will be better. You will teach and learn.,Yeah we can negotiate.
Okay.,"Yeah that's true. Shashank is on C++, Vivek said he will be going through ML like that. If Varun wants to learn Java, it would be good"
"Varun can go to Java. C won't be necessary for him. So, java is the way for him, if he wants a job. As 2nd sem is the last we will be learning programming language before company starts rolling. Work with him and tell him to start during holidays only. Preparing early. Like we worked on chat project so early and learnt files and socket programming even before ma'am thought.",Yeah bro. I will ask him to start if he's interested
He will learn a lot from you.,Yeah bro I will ask him to start.
keep me in updated. I like to know other things about tech too.,Yeah bro.
"I will also show you my Linux projects, you will also learn from it.",OK  bro it will be helpful for us.
yes,Yeah
"I just checked, my exams on the 4th not the 2nd 🤦🏻 I looked for 24 and thought it was on Wednesday. But my number is 124. Which is on Friday. <This message was edited>",Oh OK bro
Yeah,Ok
I swear I have never seen this much faster before.,Oh crazy
yeah,Oh really that's nice.
"as it's light and faster it's used in servers, I need to know about this for my roles.",Oh nice
"It won't be having any UI also, like the one in your pc, called ubuntu server.",OK 👍
It comes containerization.,Ok
okay,OK bro
there is also a simple version of it with only 5mb.,Oh nice
"youtuber has installed UI, even with UI it uses only 300 mb.",Yeah crazy
Yeah.,Ok
"I always tell my brother, if i recommend something to watch, you will definitely enjoy it. 😜 I will say the same to you. 🤣 <This message was edited>",Yeah
Only now I'm focusing on studies. 😅,Oh nice
It was free internet from jio time. I used to watch movies daily.,OK
"And of course the series too. I do watch now, but very less compared to that time. Even when I was working i would seasons very quickly.","Oh really,"
While I was working.,Oh oh
"I watched Silicon Valley, couple years of back, I think. So, if you find anything interesting that we can do, let me know.",Yeah I will.
which project?,Yeah they have kept it as add on
While I was ethical hacking courses there were multiple tools to scrap data off the internet.,I was telling you on some day
okay.,Bro thought about an idea like if users give a lengthy note or some text in numerous pages. We can develop a tool to summarize those concepts using important keywords and can give the users a short note or summary about their long conversations or info they dropped in our application
If you mean chat? I won't be working on it anymore. sorry I think I didn't say correctly. I meant if there were some techs from the series that we can work as a new project. I don't plan to work again chat or db one.,"No chat,  no db"
we need to develop AI for that. Won't that be a difficult? I don't know about just asking.,We can use an Open sourced API that's enough.
then?,"It will be the user's go to app that simplifies and provides optimal solution based on their input. Even here we use compression,  here it works by reducing the content into important points."
wait i wanted to share something with you.,"Our application stores the users previously searched data and will provide solutions based on the previous searches. So,  users may love using this."
"https://youtu.be/rS9CbsohFGk?si=ACU4ywq39YpBrs-E  check all projects. But I wanted to show you the 4th - camera project. As you interest in AI, this project looks good for you.",Where an AI tool just can't provide solutions purely based on the previous search. Sometimes it says I don't have access to the previous search like that
"I thought of doing similar like that in my final sem, detecting things like that, but resources were less back then. Nevertheless, if you are into AI, that's a good one to look into. <This message was edited>",Sure. I will be getting the prerequisites and requirements on the table soon.
Okay.,OK bro.
"Max I can contribute by C only, for now. If you need more, you need to add more members. If the project is big.",C++ will be fine for NLP
Okay.,Anyway you will be learning it in the coming days right?
Let me know about it.,OK soon
Cause I got more for you.,Nice
"What it does is, every time I talk about related to project or career it checks from the memory and uses that info before processing and provide me the desired result like you said.",80% of what I explained about the project has the same usecase as this feature. we are giving enormous amount of space to store the users queries and if the memory gets full we can back up the queries and the next time we can still provide data based on the previous search
"I don't think space issue with chatgpt, they have limited it to lesser the load on AI. With our extra space, the user input will be added with data from the database it will force the AI to give the result.",Yeah valid point
Adding more makes our project different and better than their.,Yeah that's true
I'm worried because it needs machine learning. And I have zero knowledge on it.,"Yeah we need to learn more,  but this will be interesting"
really? Are you planning to do in 2nd sem or later?,Yeah NLP NEEDS ML and math
Max I can design stuff or handling backend db like that. I don't think I can do machine learning stuff.,"Yeah. You can learn it,  see with Yogesh 's teaching you passed in math <This message was edited>"
But I already have huge number of things to learn for my careers. I can't give time for machine learning. It won't be useful also for me considering my career.,Yeah that's true
I will handle those only.,You can go with back-end db
Okay sure.,😂got it 😂
"Inform me what I should do and what I should be learning, beforehand. So that I can prepare.","OK bro. Gimme some time , before the exam ends I will be discussing with the technologies we will be working on."
okay sure.,Or else within next Monday we will decide
okay sure.,OK bro
"That ma'am from your DSA lab has not lowered my marks for lab internals 1 but also reduced in my records. Is she crazy? I'm checking now. She reduced 1 marks for each of the last programs and gave me an average of 9 in the index. Just because I didn't answer Viva she has done reduced in so many ways? I have attended all DSA labs, never absent till the last week, and that also I equalled by attending thrusday and they return it by reducing my marks. Fuck i hate it when I don't get marks for the work i done.",What the heck... Shitty people.
You watched the video?,"Broo.... I was away from my phone today, coz of some sort of reasons. <This message was edited>"
Please watch it later. It's for your sake. You are interested in AI.,OK bro I will within today
If you forget then you can star or pin it.,"OK,  after having food I will definitely see it"
Okay.,Ok
Leave that. How is the project? Intersting?,Yeah
If you are interested in that project you can research about it.,OK
https://youtu.be/KGfvunzq0a0?si=dutp1sQo3cPnup8n  Not for a project just for you to know how big Linux is.,Not that interested
Okay.,OK I will see it.
Going through the 2nd one.,OK bro
"https://youtu.be/qXUl3VsbA6o?si=phOT6jnRjTtrUHhj  Also this one, some of them could help you for web development.","Oh nice,  I will definitely go through it now."
Okay.,Ok
No i have your sent doc. Scanned one not digital. <This message was edited>,OK k
Preparation complete?,Need to prepare for viva bro
It will help me to work early and finish early.,OK
Okay.,Sure I will ASAP
Okay.,Yeah right
"I'm learning from the record then type it and check with chatgpt for any errors, like that. So I am not depending on any docs, if that's what you asked.",OK
Do we need to write those?,Tracing
I'm just preparing for the code and for VIVA.,Only for quick and merge sort
"Okay, I still haven't gone to that yet.",OK
you got the doc?,Sort right?
I found in the group,Just now I got
for how many marks tomorrow exams are for/,No idea bro
"No, only sort",OK bro
I'm at quick sort now.,OK
"When I prepared for lab internals, i didn't get what's happening in the program, I remembered the program without knowing, Kruskal was better.",Yeaa
I think Dijkstra and Linked List may cause some problems. Other are easy.,Yeah
"Linked List is understandable but it's way too long, even if we try to debug it will take time.",Yeah right
"But I'm really thankful to ma'am, most of concepts are well through to me.  So it didn't cause any trouble understanding.",Ha nice
"For queue, will get viva for others queues also?",I didn't get it
Will get viva questions for other queue types also?,Maybe they me ask because krushkal and Dijkstra are based in trees and graphs
Yes,"Nope but the concept used tress like vertices,  edges,  spanning tree"
Okay then.,They are used
At college?,"Left bus,  coming in 2 mins"
Okay,You?  Bro
Where you at?,In 5th floor
To study?,Let's sit here and study
Okay,Hi  bro
Hi,"Are you ok with Mongo DB, because you will handle complete database operations."
Let me check once about it,Sure.
Is it easy to learn? I mean faster?,"If you are good at SQL, then it will be much easier"
Is the basics of it is enough for the project?,Maybe
I checked about it. If the basics are needed then I'm on.,"OK, it will be little bit similar as of my knowledge as I have used MongoDB for a short period."
Okay,"Not sure, because we handle huge number of data like the Summaries and User queries."
"It's different, similar to json",Ok
Have you completed with the prerequisites for the project? We can make then how much we need. Just ask with chatgpt to prerequisites for all techs used in it.,"I am creating a word document, I am not using Chatgpt. I am going with Leetcode summaries, because we can get real world applications for specific usage of tech stack."
If you are done then share it with me. I will see. But for real we need prerequisites before working on the project. Otherwise it will keep on going.,"I am listing out the tech stacks, and creating workflow of our project."
It's ideal as that's how done in companies also.,And analyzing how the algorithms should be designed.
I got that all. But even before that we need to know what all things we need to know or learn. What you are doing comes later.,Yeah I am listing out. <This message was edited>
Alright.,"I understand, I have already made it and I am sending you in few minutes."
Okay.,<Media omitted>
okay.,Ok.
Who knows the frontend?,Yeah we need to face many complexities.
Let's see what happens. For the time I will go through MongoDB,"Haha, we can figure it out."
"For this frontend is necessary, how we can know it's working? Like the chat application we tested in terminal, can we do this project also like that for testing? without front end or front end is needed from the start.",Yeah we can !
As in we can test in the terminal?,"Yeah, when we use IntelliJ or eclipse or even Netbeans we have the feature."
alright,Yeah
okay,"Now, we are using Database and integrating API."
okay,Let me check and I will inform you.
they can?,"Varun siad he needs to learns React, DB and more."
Okay.,"If yes, then we can give frontend if he's interested"
"But first tell them your project, if they are interested, they have to learn it. There is no question of whether they will learn or not. If they like they need to learn.","HTML, CSS,JS can't handle this API integration and need to send request through API.  It gets very difficult by using HTML, CSS, JS"
okay.,"Yeah, that's right.  Lets discuss with them about the project"
"Tell them to all, whoever is interested can join. It's better that way.",Yeah.
Really?,"Like you said the algorithm complexities, so an addition would help you with this."
"build a team fast then, lead the project. only you know the project, so you know how many are needed.","Ok, shall we both pitch them on the exam day i.e, monday."
I could if I knew the project.,Ok bro.
"I'm okay that's why I said I will learn, But i won't lead this project due to lack of knowledge on it. I will focus on my side.",Ok bro got it
"The both projects we done, I lead that like researching about it, dividing the code and assigning who should do what. I knew for the DB that's why i recommended we use linux for finishing it quick. But this time you will lead it and assign our works and keep in update. Leading a project will gain you the leading experience. You cannot just add you have done this project but also add you lead this. I will be there if any help, but you have to lead from the front.","Sure bro, thanks for the words."
"No problem, completing the project is on your shoulders, so think quick add members fast and assign the tasks. The early we start is better.",Yeah right !.  Let's complete this talk within monday.
Sure.,Ok bro
"Alright, okay.",Ok
"HDD is priced at almost 6k, that's really weird.",OK I will
Even this is less than an HDD.,Yeah
Don't know why the price is similar. HDD has always been cheaper.,Ok
What's the purpose?,My cousin asked it.
Inform him.,Maybe for storage I think
Alright,Yeah ok
Rest of the things depend on you. Dividing the topics and giving them to team members and they can start doing that. I just wanted a head start to start early.,OK let's discuss tomorrow
Yes,OK
I will leave after 10 mins,OK bro
Are you in college?,Yes
Okay,Okay
just check the features. It's absolute beast.,Yeah. But this doesn't have snapdragon 8th gen processor
It doesn't. It uses 7. The latest processor never comes with a big battery.,Yeah
5000 was max 2 years back. Now 6000 max for snapdragon. Only iQOO has 6400 for snapdragon 8 gen 3.,Oh shit
"I meant the battery comparison vs 5000 mah. (That too it's so slim) The max brightness, gaming, video call, etc like that. Max they price it below 30,000. No one will give like this, leave that no one will come with ideas like this.",Yeah that's right
They even have phones with 8 gen 3 at just 28000,Yeah saw some
Those features blew my mind. It's a good phone.,Yeah
But don't have storage to update 😶,Oh OK
It has great features with AI,Ha OK
AI,"Oh really awesome,  we can include some of these in our project. Like the image,  auto text recommendation"
Do it. That's why I sent it to you.,"Yeah,  I am really excited to start the project. Let's start ASAP"
"Convince all. Like I said to Varun today. If it gets successful you can build a company with that product. This project you are doing is very big, take time and invest in technology and make it into a product.",We need a guy for front-end
"You should do complete research, means what a person should learn and do like that. A complete roadmap and convince others with that.",Yeah I will work on that
That project is like your child so you need to take care of it and let it grow.,"Yeah I am ready with the idea,  completed what and all we need like the tech needs.  We just need people now."
"Even if we don't get enough members, with full plan we can add members from other classes. But it's unlikely who would say no, for a big project like this.",Yeah bro yes yes
"But let's see in our class. Then we can go to other classes. We have our mentors, we can take their help.",Yeah
If you show full enthusiasm it will motivate others also.,Yeah that's right.
It can be a big thing in your life. Work hard on it.,Yeah. Instead of reaching out to separate individuals. What if we assemble all the people of our class and pitch our idea. So interested people will definitely join.
We can but we need something to show them. Because not everyone is our friends. So we need to show something. So I'm suggesting you work on this project for a long time. It can't be finished in a mere one or two months.,Yeah that too is right
We can add when we need.,Yeah definitely it will not because we get numerous ideas to implement
"Yes absolutely. None of us experienced in building or managing projects and people.  You know many businesses failed like this, by promoting early 😂",Yeah
I will help whatever I can with my experience and work.,Yeah bro need your expertise till the end.
Haha sure.,"Who the fuck this jitesh is, he is killing it"
My eyes are hurting because of lack of sleep but i can't sleep when the match is like this.,I haven't though score would go like this
I strongly believe today is RCB day. I think i  told you today. Let's see what happens.,Yeah
Jitesh is the owner of CSK.,<Media omitted>
He owns them.,How to store these chunks in different machines
This for?,Any idea
Connect with sockets and code to store them in different machines.,Not the cricketer jitesh right?
Write an algorithm to store based on some criteria to store them in different machines.,Yeah but our chat application didn't work in different machines.
Different machines as in different accounts or os's.,Yeah
To work on different machines we need to make changes to code. And in computers too.,OKayy...
For example - 213 chunks and we have 3 machines. So write logic like this - 213/3 = on each machines. This is P2P. Storing only one on one machine is not feasible.,"Yeah I understand, like I assumed an example of just 2 chunks in total."
"We actually need more. Suppose we have the same 213 and 6 machines. Then again we can store 213/3. But this time we store the 1st part on machine 1 & 2. 2nd one on machine 3 & 4. Like that. Then it will truly be a P2P. As losing on one machine, you can have backup on another one.","Got it,  how do we store them in differenr machines like how do we transfer those chunks"
"The more machines, we can make it more like P2P.",OK
Yeah that's how it works. We need more machines to make it a true P2P project. This is also a very big project.,These episodes were crazy
"Haha, more due to more connections 🤣",Hmm yes
Pandya won today. But our pandya 🤝,Yeah what a match
Yeah,Blessing bro really yes
Take fielded very well.,"Yeah,  others would have struggled with it"
My man throws bouncers and gets wickets 😳,"Haha our pandya,  he is bowling at 115-120 speed"
I wanted to say first only. But I didn't want to jinx it. It will be 10 vs 12. With Rohit on our side 😅 Hola even surya played for us 🤣,Yeah
Yeah,I lost hope in the 16-17th over bro <This message was edited>
Haha why? We have Bhuvi.,Pandya and tilak were hitting like crazy
I was very strong that RCB is going to win and change the record of last win 2015. Heck we did in tougher places in Chennai and Chepauk. We need to do it in our home ground also.,He got the game back
I didn't leave my hope.,Yeah I am waiting for that
🤣,"Last over was ultimate too,  but amazing fielding setup"
Yeah,OK bro we can sleep happily now.
Haha sure,We moved to second position in points table right? <This message was edited>
Should have won with more runs then we would have gone to 1st.,Yeah right!
saw the message?,What's that
electives.,I am thinking of Full stack development
But you need that for project right?,I can't understand how to write NLP algorithms
I thought you will choose AI,I am planning to choose it as a specialization in third semester
AI?,"Even I am too,  but I have to be thorough with development first."
alright,Ok
You know where we can find syllabus?,They may release later
"They have already given the code, so it's an existing subject probably",Oh OK
"from VTU, it not ours. But it might be similar",Yeah syllabus was nice
These electives are for B or Mtech or B.E students,Oh OK
https://elearning.vtu.ac.in/esk/P4/Syllabus/18CS52.pdf  got mine,Nice
first 2 modules looks very basic like ours now.,Existing ones
it has mongoDB,Yeah saw
good for you,Yeah
"It has P2P, hope we get that for real.",I can't find networking sub there
Didn't get you.,I cannot find the subject networking in the doc
got it now?,Nice saw the syllabus
alright.,What about maths?
exams?,Yeah
Need to start,Oh now
Yes,OK bro
"Sat now, saw the message",It look bit tough
"I want to pass, that's it.",OK
Are we supposed to select now?,I am thinking of going on AI/ML now
Okay sure.,Yeah even I thought like that in night
Someone who is focusing on that project should definitely get into AI,Yeah
Good,OK bro
Solved questions from 3 modules.,Yeah ok
I need to go through 5 module once.,"Oh... I saw CSK match it went well in the end by dhoni,  I thought they will win,  but bad luck"
"Haha, the afternoon match was also good.",OK
Could have won. But venkatesh iyer took a review for a wide and the momentum gone there. Afterwards it was silent and started losing wickets.,Oh OK
Same classroom?,I am in 618
Changed?,Don't know about the exam rooms
Okay,Where are you?
Left home,Oh OK bro
<Media omitted>,Bro why are we keep on losing the toss?
Virat pushed it in 2016 along with AB. That's it.,OK
But still no trophies. That's the value of having luck along with skills.,Point to agree!
I don't feel great from KL today. Let's see. Need Rajat very much against axar and kuldeep. He shouldn't get out against pace early. We need him against spin.,Yeah very much important.
Need Virat to finish at least today.,Yeah I saw faf's post on instagram today.
And Phil to open strong.,Yeah that's important
220+ must.,We can expect from Dev padikkal also
"It's a batting paradise, everyone can go at it. But we shouldn't lose more wickets like last time. Take time and hit. With more runs the pressure will be on the DC. With less runs, no pressure they can chase easily.",Yeah that's right.
Virat has good stats against DC.,MSD will be leading CSK from now on.
Haha. Then jadeja now ruturaj. I think ruturaj might leave CSK if has some respect. Unlike jadeja.  With dhoni there no one can take the captaincy. Absolute shameless. He is ruining his legacy.,Yeah that's 10000% true.
MI forced Rohit. But CSK can't.,"Hae bro. You sent AI android update right? I learnt how to implement it in our project today. It's super complicated,  but it's interesting"
"Not everyone is as good as Virat. Virat is a team man. Patidar's transition to captaincy was smooth, all thanks to Virat.",Need to go through some complex math again.
Good. I selected the electives in the form too. That subject is a must for my career. You also take what's important for your career.,"Definitely AI/ML , this is very exciting and complicated too."
Yes. That's what I thought.,Yeah our MAN
Alright.,Shall I reach out Shashank for front-end
What's his role?,He will handle Back-end and API
Backend as DB? I have taken that right?,Java
Alright,You will be handling complete DB. I will explain last day like what we wanna do and how the application and workflow will be.
Okay. MongoDB right? Or other?,Mongo DB bro. Locked
Okay then.,OK bro
"I was shocked that like C, assembly language is still in use today.",OK
It's so old. Even than C. But still in use. 😳,OK. Is it a programming language
Yes it is.,OK
"It will be small, very short in a line. But very big. Even for a simple program you need to write a lot of code.",Oh OK
For hello world 😅,Oh
"Difference is assembly language is low level language, while C, C++, python are high level languages.",Yeah understood
Yeah,Yes
Padikkal is struggling.,Yeah
Gone 😅,Fuck
Yes,Yeah
"We might, with tight bowling. Pitch is not the same. Need to wickets in powerplay. Depends on this.",Yeah
Tomorrow.,Yeah completely
*For average.,Yeah even I have to practice more DSA problems to pass the initial rounds in an interview and then about the tech stack and projects comes in further rounds.
DSA is important for sure guys.,Yeah very very much
That's how big it is.,Oh!
We won't. That's why I have less care for college things. All i want is a degree certificate and learn stuff from college which may help my roadmap.,Yeah that's right
Average that's how I scored throughout my education.,Even I will follow this
So I don't care if I get less marks in college. Getting a good job is more important for me.,Ok
That's the best way for me which worked.,OK
And will work. None of my interviews asked me how many marks I got.,Yeah right!
"As a matter of fact, if you have skills not even your degree matters.",Nice.
You will be shocked to know how less Americans study.,Yeah I am aware of that
Maximum study till high school only.,Sad truth.
Thank God Faf gone.,"Lost hope,  came out"
Want KL to go now.,"I am interested,  but I may not get time this 2nd semester,  so I may do on 3rd like AWS  certification"
"First ball went for dot. Suyash gave a look at Axar. Axar saw it and smiled after he Suyash turned. I was expecting a boundary next ball, and Suyash bowled a bad ball. I thought that was deliberate. Suyash was setting up. next ball also went for 2 runs, Next ball Suyash bowled, at place which Axar hit for a boundary. This time Axar lifted it and got out.",No bro
"Suyash is a genius, trapping the axar so well. Axar was so simple minded went against him when the pitch is not favouring.",Some heat in the game
Suyash just need some experience he could be our next Chahal. Under DK he will flourish well. He certainly got my attention.,Nice bro. Our spin is getting welk
yes,And this boy's mind game maybe good
He is. None of them noticed his gameplay.,Oh yes yes
Man I thought KL's vengeance against RCB was over but it ain't. 😶,Shit
Yeah! it's done and dusted.,I got some hope back. But it just went in air
"Ma'am sent this, but it looks so small.",I think it's enough
Alright,And go through the problems
Okay,<Media omitted>
Got ti.,OK bro
Have you watched dragon? Movie?,Yes bro.
Dragon or Vidaamuyarchi,Nice one
I want entertainment,Dragon would be good
Before exams,Me too
"Or Orion, wherever it's feasible and less expensive.",Ok
Wednesday?,OK sure
Before the web exam.,Thursday we have exams right
But we can manage the web.,Yeah
Can't go on the exam day.,What about After the exam day
"The price will be more, on weekdays.",On weekends or weekdays
Wednesday is best.,It will take me a whole day to travel and finish the film and going back
I will go agnyathavaasi after the exams.,OK bro
"Probably Wednesday, can't go Monday.",OK bro I will inform you if I am able to come
Sure.,"Oh OK,  then my day will be gone"
There is an 11:00 show also but it's not Atmos.,Ohk
"See if you can come, otherwise we can go any other day for another movie.",Yeahh
"I'm not going to c++ for now, so if you have anything to do in c++, tell me now. I will be focusing on python for now.",We will be generating a free API from Gemini and we will be importing in Java. That's it
Okay good.,OK bro
Alright. I want to know everything about it.,We will be using many APIs for different features
"For weather, do we need to request access to use the API?","For image, auto text completion and more"
All of them provided by Gemini AI?,No we have to use different APIs
Okay.,"Means,  you can generate a free API when u sign up for the first time"
Okay.,And if you want to generate more than you have to pay for that
"Oh, okay. Just for testing I need it.",First time it will be free and next time we need to pay
Alright.,"Not like that,  you can use an API for lifetime or some limited amount of time depends. If you want to generate another API for a different use then you have to pay"
How about for gemini AI? It's free right?,Yeah it will be free.
Okay.,OK bro.
Anything?,<Media omitted>
I don't know which are important questions. They all are basic for me. So i really don't know. What sir told me was about questions regarding file attributes which he did in class again and again. Other than that he also said they might ask for Unix commands.,OK 👍
I can't be of any help with it. Sir told only those 2 things.,Yeah ok
"Important : When asked file question from 9, answer from basic files, when asked from 10 answer from Unix file.",OK
"If you have doubts from the Unix, i can help it. Before exam.","Yeah that's what,  I am learning how to write code to call API,  how to connect using keywords and there are plenty in spring. So I am learning"
Okay.,Yeah I will
Tell me when I should start learning mongoDB?,You can start from now only bro. Like the basic syntax and how to store and segregate user data and their searches. And summaries and their  queries need to be stored in a separate file
Alright.,Yeah OK bro
Thinking about these will put pressure on us.,"Yeah,  but more exciting too."
"Remember what all the features we thought to include in our chat? One-to-one, web UI, security, etc. how many of it were we able to achieve it. It's exciting for sure. But it will mount pressure on us. So let's take it slow and steady. Build bit by bit.","BTW,  varun was asking about Networks (electives)"
Weird.,Yeah that's right!
I will check with him.,He was asking. So I said that you know the best about networks.
He took the full stack. It's better for him. Should choose networks if one wants to have anything to do with it.,OK. Yeah right
Like taking inputs and then sending requests and interacting with gemini AI?,"Yeah it does,  whenever there is a request seeking any sort of service.It does"
Alright. I'm interested in that. I want to know about it. Automation is important for me also.,OK bro
"If this is right, who handles what.",Yes
3 won't be enough. My opinion.,"If you need someone for DB, then another person will be added"
At least need 2 on each tech.,Yeah even I am thinking like that too.
"Varun is in between full stack and networks. If he takes networks. Give me Varun. We look after the backend, I'm thinking about automation as it's important for both of us. Not confirmed but have to see.",There is ain't much work on front-end.
Okay,"Options :-  Shashank, Rohit (as you said earlier),  Vikram."
Ya,Shashank is not familiar in react
Alright but still if someone knows it would be better. We can add them to other tasks,Yeah right.
Does a full stack subject has react?,Yeah then we have these 3 guys as options for front-end.
It would be easier then we can add anyone who takes up that,Full stack is the combination of both front-end and back-end
Anyhow they have to learn it,Yeah right. What about Vivek ?
The huffan guy?,It will be there for sure. And front-end engineer need to be creative too to implement things.
He knows react?,Don't know bro.
